Year,Function,Opponent,p_value,Symbol
2022,F12,HHO,0.009023438818080326,+
2022,F12,MPA,0.11718508719813801,=
2022,F12,AOA,0.17452534056858338,=
2022,F2,SBOA,0.46470209994046485,=
2022,F2,WOA,0.009023438818080326,+
2022,F2,GWO,0.009023438818080326,+
2022,F2,SCA,0.009023438818080326,+
2022,F2,SSA,0.009023438818080326,-
2022,F2,HHO,0.04720176769014221,+
2022,F2,MPA,0.009023438818080326,-
2022,F2,AOA,0.028280122568276955,+
2022,F3,SBOA,0.009023438818080326,-
2022,F3,WOA,0.009023438818080326,+
2022,F3,GWO,0.009023438818080326,+
2022,F3,SCA,0.009023438818080326,+
2022,F3,SSA,0.009023438818080326,-
2022,F3,HHO,0.009023438818080326,+
2022,F3,MPA,0.009023438818080326,+
2022,F3,AOA,0.009023438818080326,+
2022,F4,SBOA,0.11718508719813801,=
2022,F4,WOA,0.009023438818080326,+
2022,F4,GWO,0.07580017458236125,=
2022,F4,SCA,0.009023438818080326,+
2022,F4,SSA,0.07580017458236125,=
2022,F4,HHO,0.009023438818080326,+
2022,F4,MPA,0.9168149485280885,=
2022,F4,AOA,0.009023438818080326,+
2022,F5,SBOA,0.009023438818080326,+
2022,F5,WOA,0.009023438818080326,+
2022,F5,GWO,0.009023438818080326,+
2022,F5,SCA,0.009023438818080326,+
2022,F5,SSA,0.6015081344405899,=
2022,F5,HHO,0.009023438818080326,+
2022,F5,MPA,0.009023438818080326,+
2022,F5,AOA,0.009023438818080326,+
2022,F6,SBOA,0.009023438818080326,+
2022,F6,WOA,0.009023438818080326,+
2022,F6,GWO,0.009023438818080326,+
2022,F6,SCA,0.009023438818080326,+
2022,F6,SSA,0.009023438818080326,+
2022,F6,HHO,0.009023438818080326,+
2022,F6,MPA,0.17452534056858338,=
2022,F6,AOA,0.009023438818080326,+
2022,F7,SBOA,0.11718508719813801,=
2022,F7,WOA,0.009023438818080326,+
2022,F7,GWO,0.009023438818080326,+
2022,F7,SCA,0.009023438818080326,+
2022,F7,SSA,0.009023438818080326,+
2022,F7,HHO,0.009023438818080326,+
2022,F7,MPA,0.009023438818080326,+
2022,F7,AOA,0.009023438818080326,+
2022,F8,SBOA,0.25059205068568424,=
2022,F8,WOA,0.009023438818080326,+
2022,F8,GWO,0.009023438818080326,+
2022,F8,SCA,0.009023438818080326,+
2022,F8,SSA,0.009023438818080326,+
2022,F8,HHO,0.009023438818080326,+
2022,F8,MPA,0.009023438818080326,+
2022,F8,AOA,0.009023438818080326,+
2022,F9,SBOA,0.6015081344405899,=
2022,F9,WOA,0.028280122568276955,+
2022,F9,GWO,0.028280122568276955,+
2022,F9,SCA,0.07580017458236125,=
2022,F9,SSA,0.46470209994046485,=
2022,F9,HHO,0.17452534056858338,=
2022,F9,MPA,0.6015081344405899,=
2022,F9,AOA,0.07580017458236125,=
